    -0.188     0.625    -0.052    -0.533    -0.138    -0.954    -0.034    -1.676    -0.897    -0.563    -0.187    -0.402    -0.683    -0.189    -0.405    -0.688     0.000     0.993     0.007     2.000     0.810      1
     0.806     0.625     0.981     1.484    -0.138     0.014     0.976     1.343     1.085     1.512     0.310     0.629     1.042     0.316     0.640     1.062     0.978     0.000     0.022     1.000     1.475      2
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     1.085    -0.563     0.226     0.459     0.753     0.316     0.640     1.062     0.653     0.000     0.347     1.000     0.778      3
    -1.181    -1.314     0.981    -0.533     2.279    -0.954    -1.043    -0.669    -0.897    -1.601    -0.188    -0.405    -0.687    -0.189    -0.405    -0.688     0.000     0.999     0.001     2.000     1.356      4
     0.806     0.625     0.981    -0.533    -0.138    -0.954    -0.034    -1.676    -0.897     0.474    -0.173    -0.372    -0.634    -0.189    -0.405    -0.688     0.000     0.936     0.064     2.000     1.797      5
     1.799     1.595    -1.084    -0.533    -0.138    -0.954    -2.053    -1.676    -0.897    -1.601    -0.188    -0.405    -0.688    -0.189    -0.405    -0.688     0.000     1.000     0.000     2.000     0.843      6
    -1.181    -0.344     0.981     0.475    -0.138    -0.954    -1.043    -0.669    -0.897    -0.563    -0.187    -0.401    -0.681    -0.189    -0.405    -0.688     0.000     0.992     0.008     2.000     1.475      7
     0.806     0.625     0.981     0.475    -0.138     0.982     0.976     1.343     1.085     1.512     0.314     0.636     1.055     0.316     0.640     1.062     0.992     0.000     0.008     1.000     0.763      8
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.316     0.639     1.060     0.316     0.640     1.062     0.998     0.000     0.002     1.000     1.373      9
     0.806     0.625     2.013     0.475    -0.138     0.982     0.976     1.343     1.085     1.512     0.315     0.637     1.057     0.316     0.640     1.062     0.994     0.000     0.006     1.000     1.784     10
    -0.188    -0.344     0.981     0.475     2.279    -0.954    -1.043    -0.669    -0.897    -0.563    -0.181    -0.390    -0.663    -0.189    -0.405    -0.688     0.000     0.971     0.029     2.000     1.042     11
    -0.188    -0.344    -0.052     0.475     1.071     0.014    -0.034    -0.669     0.094     0.474     0.027     0.055     0.069     0.056     0.116     0.170     0.000     0.118     0.882     3.000     0.275     12
     0.806    -0.344    -0.052     0.475     2.279     0.982    -0.034     0.337     0.094     0.474     0.074     0.154     0.234     0.056     0.116     0.170     0.072     0.001     0.927     3.000     2.148     13
     0.806    -0.344    -1.084     1.484    -0.138     0.014    -0.034    -0.669     1.085    -0.563     0.039     0.081     0.111     0.056     0.116     0.170     0.001     0.069     0.930     3.000     2.148     14
    -0.188    -0.344     0.981     1.484     2.279     0.014    -0.034     0.337     0.094     0.474     0.060     0.124     0.183     0.056     0.116     0.170     0.019     0.004     0.977     3.000     0.763     15
         *         *         *         *    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601    -0.189    -0.405    -0.688    -0.189    -0.405    -0.688     0.000     1.000     0.000     2.000     0.275     16
    -0.188    -0.344    -1.084    -0.533     1.071    -1.922    -2.053    -1.676    -1.888    -1.601    -0.189    -0.405    -0.688    -0.189    -0.405    -0.688     0.000     1.000     0.000     2.000     1.290     17
     0.806     0.625    -0.052    -0.533     1.071    -0.954     0.976     0.337     1.085    -0.563     0.058     0.121     0.178     0.056     0.116     0.170     0.014     0.005     0.980     3.000     1.438     18
     0.806    -0.344     0.981     1.484     1.071    -0.954     0.976     0.337     1.085     0.474     0.087     0.180     0.278     0.056     0.116     0.170     0.122     0.001     0.877     3.000     1.212     19
    -0.188     0.625    -0.052    -0.533     1.071    -1.922    -1.043    -1.676    -1.888    -1.601    -0.189    -0.405    -0.688    -0.189    -0.405    -0.688     0.000     1.000     0.000     2.000     0.958     20
     0.806     0.625     0.981    -0.533    -0.138     0.982     0.976     0.337     1.085     0.474     0.209     0.426     0.696     0.316     0.640     1.062     0.590     0.000     0.410     1.000     0.966     21
     0.806     0.625     0.981    -0.533    -0.138     0.982    -0.034     1.343     1.085     1.512     0.298     0.604     1.000     0.316     0.640     1.062     0.931     0.000     0.069     1.000     0.275     23
     0.806     0.625    -0.052     1.484     2.279     0.982    -0.034     1.343     0.094     1.512     0.297     0.601     0.996     0.316     0.640     1.062     0.926     0.000     0.074     1.000     1.250     24
    -0.188    -0.344     0.981     0.475     1.071    -0.954    -1.043    -0.669    -0.897    -0.563    -0.183    -0.394    -0.670    -0.189    -0.405    -0.688     0.000     0.979     0.021     2.000     1.313     25
     0.806     0.625    -0.052     0.475     1.071    -0.954    -1.043    -0.669     0.094    -0.563    -0.138    -0.298    -0.513    -0.189    -0.405    -0.688     0.000     0.795     0.205     2.000     2.046     26
     1.799     1.595     0.981    -0.533    -0.138     0.014    -1.043     0.337     1.085    -0.563     0.056     0.115     0.169     0.056     0.116     0.170     0.007     0.009     0.983     3.000     1.373     27
     1.799     0.625     0.981     1.484     2.279     0.982    -1.043    -0.669    -0.897     1.512     0.056     0.117     0.171     0.056     0.116     0.170     0.009     0.008     0.983     3.000     1.672     28
