    -0.188     0.625    -0.052    -0.533    -0.138    -0.954    -0.034    -1.676    -0.897    -0.563    -0.033     0.284    -0.533     0.012     0.574    -0.506     0.000     0.000     0.002     0.177     0.820     5.000     0.810      1
     0.806     0.625     0.981     1.484    -0.138     0.014     0.976     1.343     1.085     1.512     0.571     0.701     0.768     0.596     0.699     0.756     0.966     0.029     0.005     0.000     0.000     1.000     1.475      2
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     1.085    -0.563     0.595     0.697     0.755     0.596     0.699     0.756     0.998     0.000     0.002     0.000     0.000     1.000     0.778      3
    -1.181    -1.314     0.981    -0.533     2.279    -0.954    -1.043    -0.669    -0.897    -1.601    -0.241    -1.036    -0.671    -0.242    -1.045    -0.672     0.000     0.000     0.000     0.995     0.005     4.000     1.356      4
     0.806     0.625     0.981    -0.533    -0.138    -0.954    -0.034    -1.676    -0.897     0.474     0.011     0.565    -0.505     0.012     0.574    -0.506     0.000     0.000     0.002     0.004     0.994     5.000     1.797      5
     1.799     1.595    -1.084    -0.533    -0.138    -0.954    -2.053    -1.676    -0.897    -1.601     0.012     0.573    -0.506     0.012     0.574    -0.506     0.000     0.000     0.000     0.000     1.000     5.000     0.843      6
    -1.181    -0.344     0.981     0.475    -0.138    -0.954    -1.043    -0.669    -0.897    -0.563    -0.229    -0.964    -0.661    -0.242    -1.045    -0.672     0.000     0.000     0.003     0.949     0.048     4.000     1.475      7
     0.806     0.625     0.981     0.475    -0.138     0.982     0.976     1.343     1.085     1.512     0.282     0.784     0.952     0.596     0.699     0.756     0.592     0.397     0.011     0.000     0.000     1.000     0.763      8
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.594     0.699     0.758     0.596     0.699     0.756     0.997     0.003     0.000     0.000     0.000     1.000     1.373      9
     0.806     0.625     2.013     0.475    -0.138     0.982     0.976     1.343     1.085     1.512     0.424     0.745     0.863     0.596     0.699     0.756     0.777     0.216     0.006     0.000     0.000     1.000     1.784     10
    -0.188    -0.344     0.981     0.475     2.279    -0.954    -1.043    -0.669    -0.897    -0.563    -0.039     0.247    -0.534     0.012     0.574    -0.506     0.000     0.000     0.006     0.199     0.795     5.000     1.042     11
    -0.188    -0.344    -0.052     0.475     1.071     0.014    -0.034    -0.669     0.094     0.474    -0.064    -0.058     0.052    -0.092    -0.247     0.307     0.011     0.000     0.679     0.047     0.263     3.000     0.275     12
     0.806    -0.344    -0.052     0.475     2.279     0.982    -0.034     0.337     0.094     0.474     0.428     0.481     0.632     0.596     0.699     0.756     0.753     0.001     0.229     0.000     0.017     1.000     2.148     13
     0.806    -0.344    -1.084     1.484    -0.138     0.014    -0.034    -0.669     1.085    -0.563    -0.003     0.303    -0.198     0.012     0.574    -0.506     0.034     0.000     0.326     0.004     0.635     5.000     2.148     14
    -0.188    -0.344     0.981     1.484     2.279     0.014    -0.034     0.337     0.094     0.474     0.434     0.488     0.633     0.596     0.699     0.756     0.761     0.000     0.219     0.000     0.019     1.000     0.763     15
         *         *         *         *    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601    -0.220    -0.903    -0.658    -0.242    -1.045    -0.672     0.000     0.000     0.000     0.913     0.087     4.000     0.275     16
    -0.188    -0.344    -1.084    -0.533     1.071    -1.922    -2.053    -1.676    -1.888    -1.601    -0.212    -0.851    -0.653    -0.242    -1.045    -0.672     0.000     0.000     0.000     0.880     0.120     4.000     1.290     17
     0.806     0.625    -0.052    -0.533     1.071    -0.954     0.976     0.337     1.085    -0.563     0.025     0.119     0.127    -0.092    -0.247     0.307     0.126     0.004     0.574     0.000     0.295     3.000     1.438     18
     0.806    -0.344     0.981     1.484     1.071    -0.954     0.976     0.337     1.085     0.474     0.546     0.634     0.718     0.596     0.699     0.756     0.925     0.000     0.068     0.000     0.006     1.000     1.212     19
    -0.188     0.625    -0.052    -0.533     1.071    -1.922    -1.043    -1.676    -1.888    -1.601    -0.061     0.111    -0.553     0.012     0.574    -0.506     0.000     0.000     0.000     0.286     0.714     5.000     0.958     20
     0.806     0.625     0.981    -0.533    -0.138     0.982     0.976     0.337     1.085     0.474     0.143     0.456     0.751     0.596     0.699     0.756     0.378     0.289     0.330     0.000     0.003     1.000     0.966     21
     0.806     0.625     0.981    -0.533    -0.138     0.982    -0.034     1.343     1.085     1.512     0.032     0.782     1.053    -0.178     0.939     1.262     0.262     0.658     0.080     0.000     0.000     2.000     0.275     23
     0.806     0.625    -0.052     1.484     2.279     0.982    -0.034     1.343     0.094     1.512     0.594     0.697     0.756     0.596     0.699     0.756     0.997     0.001     0.002     0.000     0.000     1.000     1.250     24
    -0.188    -0.344     0.981     0.475     1.071    -0.954    -1.043    -0.669    -0.897    -0.563    -0.063     0.096    -0.549     0.012     0.574    -0.506     0.000     0.000     0.007     0.292     0.702     5.000     1.313     25
     0.806     0.625    -0.052     0.475     1.071    -0.954    -1.043    -0.669     0.094    -0.563     0.011     0.569    -0.504     0.012     0.574    -0.506     0.000     0.000     0.002     0.001     0.996     5.000     2.046     26
     1.799     1.595     0.981    -0.533    -0.138     0.014    -1.043     0.337     1.085    -0.563     0.028     0.559    -0.443     0.012     0.574    -0.506     0.032     0.002     0.023     0.000     0.943     5.000     1.373     27
     1.799     0.625     0.981     1.484     2.279     0.982    -1.043    -0.669    -0.897     1.512     0.419     0.658     0.377     0.596     0.699     0.756     0.697     0.000     0.004     0.000     0.299     1.000     1.672     28
     0.806     0.625     0.981     1.484    -1.346     0.982     0.976     0.337     1.085     1.512     0.516     0.691     0.783     0.596     0.699     0.756     0.893     0.079     0.028     0.000     0.000     1.000     1.672     29
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.594     0.699     0.758     0.596     0.699     0.756     0.997     0.003     0.000     0.000     0.000     1.000     0.958     30
     0.806     0.625     0.981     1.484     1.071     0.982     0.976    -1.676    -0.897     1.512     0.378     0.605     0.345     0.596     0.699     0.756     0.637     0.000     0.059     0.000     0.305     1.000     2.432     31
