    -0.188     0.625    -0.052    -0.533    -0.138    -0.954    -0.034    -1.676    -0.897    -0.563    -0.274     0.308    -0.613    -0.281     0.578    -0.611     0.000     0.005     0.828     0.166     0.000     0.002     3.000     0.810      1
     0.806     0.625     0.981     1.484    -0.138     0.014     0.976     1.343     1.085     1.512     0.591     0.634     0.874     0.592     0.634     0.874     0.999     0.000     0.000     0.000     0.001     0.000     1.000     1.475      2
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     1.085    -0.563     0.589     0.625     0.840     0.592     0.634     0.874     0.970     0.030     0.000     0.000     0.000     0.000     1.000     0.778      3
    -1.181    -1.314     0.981    -0.533     2.279    -0.954    -1.043    -0.669    -0.897    -1.601    -0.262    -1.033    -0.642    -0.262    -1.037    -0.643     0.000     0.001     0.002     0.997     0.000     0.000     4.000     1.356      4
     0.806     0.625     0.981    -0.533    -0.138    -0.954    -0.034    -1.676    -0.897     0.474    -0.268     0.556    -0.603    -0.281     0.578    -0.611     0.000     0.016     0.971     0.010     0.000     0.003     3.000     1.797      5
     1.799     1.595    -1.084    -0.533    -0.138    -0.954    -2.053    -1.676    -0.897    -1.601    -0.281     0.578    -0.611    -0.281     0.578    -0.611     0.000     0.000     1.000     0.000     0.000     0.000     3.000     0.843      6
    -1.181    -0.344     0.981     0.475    -0.138    -0.954    -1.043    -0.669    -0.897    -0.563    -0.190    -0.870    -0.605    -0.262    -1.037    -0.643     0.000     0.096     0.019     0.882     0.000     0.003     4.000     1.475      7
     0.806     0.625     0.981     0.475    -0.138     0.982     0.976     1.343     1.085     1.512     0.437     0.678     0.925     0.592     0.634     0.874     0.815     0.000     0.000     0.000     0.173     0.013     1.000     0.763      8
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.592     0.634     0.874     0.592     0.634     0.874     1.000     0.000     0.000     0.000     0.000     0.000     1.000     1.373      9
     0.806     0.625     2.013     0.475    -0.138     0.982     0.976     1.343     1.085     1.512     0.528     0.652     0.895     0.592     0.634     0.874     0.923     0.000     0.000     0.000     0.071     0.006     1.000     1.784     10
    -0.188    -0.344     0.981     0.475     2.279    -0.954    -1.043    -0.669    -0.897    -0.563     0.420     0.257    -0.312     0.494     0.348    -0.278     0.000     0.903     0.027     0.069     0.000     0.001     2.000     1.042     11
    -0.188    -0.344    -0.052     0.475     1.071     0.014    -0.034    -0.669     0.094     0.474     0.243     0.149    -0.094     0.494     0.348    -0.278     0.002     0.622     0.016     0.031     0.000     0.329     2.000     0.275     12
     0.806    -0.344    -0.052     0.475     2.279     0.982    -0.034     0.337     0.094     0.474     0.289     0.272     0.343    -0.161    -0.139     0.323     0.349     0.286     0.001     0.000     0.001     0.363     6.000     2.148     13
     0.806    -0.344    -1.084     1.484    -0.138     0.014    -0.034    -0.669     1.085    -0.563     0.476     0.339    -0.256     0.494     0.348    -0.278     0.008     0.965     0.003     0.000     0.000     0.024     2.000     2.148     14
    -0.188    -0.344     0.981     1.484     2.279     0.014    -0.034     0.337     0.094     0.474     0.506     0.394    -0.071     0.494     0.348    -0.278     0.176     0.816     0.000     0.000     0.000     0.008     2.000     0.763     15
         *         *         *         *    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601    -0.267    -0.543    -0.633    -0.262    -1.037    -0.643     0.000     0.001     0.305     0.694     0.000     0.000     4.000     0.275     16
    -0.188    -0.344    -1.084    -0.533     1.071    -1.922    -2.053    -1.676    -1.888    -1.601    -0.267    -0.625    -0.635    -0.262    -1.037    -0.643     0.000     0.000     0.255     0.745     0.000     0.000     4.000     1.290     17
     0.806     0.625    -0.052    -0.533     1.071    -0.954     0.976     0.337     1.085    -0.563    -0.148    -0.080     0.263    -0.161    -0.139     0.323     0.004     0.026     0.055     0.000     0.005     0.911     6.000     1.438     18
     0.806    -0.344     0.981     1.484     1.071    -0.954     0.976     0.337     1.085     0.474     0.558     0.547     0.545     0.592     0.634     0.874     0.710     0.281     0.000     0.000     0.000     0.009     1.000     1.212     19
    -0.188     0.625    -0.052    -0.533     1.071    -1.922    -1.043    -1.676    -1.888    -1.601    -0.276     0.249    -0.617    -0.281     0.578    -0.611     0.000     0.002     0.795     0.204     0.000     0.000     3.000     0.958     20
     0.806     0.625     0.981    -0.533    -0.138     0.982     0.976     0.337     1.085     0.474    -0.159     0.204     0.599    -0.161    -0.139     0.323     0.037     0.001     0.000     0.000     0.289     0.672     6.000     0.966     21
     0.806     0.625     0.981    -0.533    -0.138     0.982    -0.034     1.343     1.085     1.512    -0.201     0.748     1.043    -0.251     0.946     1.208     0.041     0.000     0.000     0.000     0.788     0.171     5.000     0.275     23
     0.806     0.625    -0.052     1.484     2.279     0.982    -0.034     1.343     0.094     1.512     0.592     0.633     0.872     0.592     0.634     0.874     0.998     0.002     0.000     0.000     0.000     0.000     1.000     1.250     24
    -0.188    -0.344     0.981     0.475     1.071    -0.954    -1.043    -0.669    -0.897    -0.563     0.301     0.115    -0.365     0.494     0.348    -0.278     0.000     0.747     0.071     0.179     0.000     0.003     2.000     1.313     25
     0.806     0.625    -0.052     0.475     1.071    -0.954    -1.043    -0.669     0.094    -0.563     0.313     0.395    -0.352     0.494     0.348    -0.278     0.000     0.766     0.227     0.003     0.000     0.004     2.000     2.046     26
     1.799     1.595     0.981    -0.533    -0.138     0.014    -1.043     0.337     1.085    -0.563    -0.205     0.437    -0.408    -0.281     0.578    -0.611     0.003     0.067     0.747     0.000     0.006     0.178     3.000     1.373     27
     1.799     0.625     0.981     1.484     2.279     0.982    -1.043    -0.669    -0.897     1.512     0.496     0.355    -0.247     0.494     0.348    -0.278     0.027     0.973     0.000     0.000     0.000     0.000     2.000     1.672     28
     0.806     0.625     0.981     1.484    -1.346     0.982     0.976     0.337     1.085     1.512     0.589     0.632     0.872     0.592     0.634     0.874     0.995     0.001     0.000     0.000     0.002     0.002     1.000     1.672     29
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.592     0.634     0.874     0.592     0.634     0.874     1.000     0.000     0.000     0.000     0.000     0.000     1.000     0.958     30
     0.806     0.625     0.981     1.484     1.071     0.982     0.976    -1.676    -0.897     1.512     0.496     0.357    -0.239     0.494     0.348    -0.278     0.033     0.965     0.000     0.000     0.000     0.001     2.000     2.432     31
     0.806     0.625     0.981     1.484     2.279     0.982    -1.043     1.343    -0.897     1.512     0.584     0.612     0.788     0.592     0.634     0.874     0.924     0.075     0.000     0.000     0.000     0.001     1.000     1.212     33
     0.806     0.625     0.981     1.484     2.279     0.014    -0.034     1.343     0.094     0.474     0.586     0.616     0.803     0.592     0.634     0.874     0.938     0.062     0.000     0.000     0.000     0.001     1.000     1.327     34
    -0.188    -0.344     0.981     1.484    -1.346    -0.954     0.976     0.337     0.094     0.474     0.408     0.310    -0.051     0.494     0.348    -0.278     0.120     0.731     0.000     0.000     0.000     0.148     2.000     1.438     35
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     0.094     1.512     0.592     0.633     0.869     0.592     0.634     0.874     0.995     0.005     0.000     0.000     0.000     0.000     1.000     0.966     36
     0.806     0.625    -0.052     1.484     2.279     0.014     0.976     1.343     0.094     1.512     0.592     0.634     0.873     0.592     0.634     0.874     0.998     0.001     0.000     0.000     0.000     0.000     1.000     1.212     37
     0.806     0.625     0.981     0.475     2.279     0.982    -0.034         *     0.094     0.474     0.525     0.514     0.511     0.592     0.634     0.874     0.658     0.291     0.001     0.000     0.002     0.048     1.000     1.475     38
    -1.181    -1.314     0.981    -0.533    -0.138     0.014    -0.034     1.343    -0.897    -1.601    -0.222    -0.682    -0.266    -0.262    -1.037    -0.643     0.000     0.001     0.002     0.607     0.000     0.390     4.000     0.733     39
     0.806     0.625     0.981     1.484     2.279     0.014     0.976     0.337     1.085     1.512     0.592     0.633     0.869     0.592     0.634     0.874     0.995     0.005     0.000     0.000     0.000     0.000     1.000     1.356     41
     0.806     0.625     0.981     0.475     2.279     0.982    -0.034     1.343     0.094    -0.563     0.539     0.563     0.733     0.592     0.634     0.874     0.845     0.096     0.000     0.000     0.001     0.057     1.000     1.250     42
     0.806     0.625     0.981     1.484    -0.138     0.982    -0.034     0.337     0.094     0.474     0.559     0.553     0.572     0.592     0.634     0.874     0.732     0.258     0.000     0.000     0.000     0.010     1.000     0.616     43
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.592     0.634     0.874     0.592     0.634     0.874     1.000     0.000     0.000     0.000     0.000     0.000     1.000     1.313     44
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.592     0.634     0.874     0.592     0.634     0.874     1.000     0.000     0.000     0.000     0.000     0.000     1.000     2.240     45
     0.806    -0.344    -0.052    -0.533    -0.138     0.014     0.976     0.337     1.085     1.512    -0.164    -0.043     0.400    -0.161    -0.139     0.323     0.006     0.000     0.000     0.000     0.084     0.910     6.000     1.135     46
    -0.188     0.625     0.981     1.484     2.279     0.982     0.976     1.343     0.094     0.474     0.592     0.633     0.872     0.592     0.634     0.874     0.998     0.002     0.000     0.000     0.000     0.000     1.000     0.958     47
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     0.094     1.512     0.592     0.634     0.874     0.592     0.634     0.874     1.000     0.000     0.000     0.000     0.000     0.000     1.000     1.711     48
     0.806     0.625     0.981    -0.533    -0.138     0.014    -0.034     0.337     0.094     1.512    -0.153    -0.099     0.323    -0.161    -0.139     0.323     0.007     0.009     0.015     0.000     0.018     0.950     6.000     0.870     49
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     0.094     0.474     0.592     0.634     0.873     0.592     0.634     0.874     0.999     0.001     0.000     0.000     0.000     0.000     1.000     2.046     50
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     1.085     1.512     0.592     0.634     0.873     0.592     0.634     0.874     0.999     0.001     0.000     0.000     0.000     0.000     1.000     1.290     51
