     1.799     1.595     0.981    -0.533    -0.138     0.014    -1.043     0.337     1.085    -0.563    -0.185     0.563     0.094    -0.185     0.622     0.641     0.003     0.001     0.541     0.000     0.000     0.402     0.052     3.000     1.373     27
     1.799     0.625     0.981     1.484     2.279     0.982    -1.043    -0.669    -0.897     1.512     0.485     0.355    -0.220     0.483     0.349    -0.244     0.000     0.021     0.000     0.000     0.000     0.000     0.979     7.000     1.672     28
     0.806     0.625     0.981     1.484    -1.346     0.982     0.976     0.337     1.085     1.512     0.589     0.628     0.890     0.600     0.629     0.895     0.000     0.985     0.014     0.000     0.000     0.000     0.002     2.000     1.672     29
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.600     0.629     0.895     0.600     0.629     0.895     0.000     1.000     0.000     0.000     0.000     0.000     0.000     2.000     0.958     30
     0.806     0.625     0.981     1.484     1.071     0.982     0.976    -1.676    -0.897     1.512     0.485     0.356    -0.215     0.483     0.349    -0.244     0.000     0.025     0.000     0.000     0.000     0.000     0.974     7.000     2.432     31
     0.806     0.625     0.981     1.484     2.279     0.982    -1.043     1.343    -0.897     1.512     0.587     0.600     0.778     0.600     0.629     0.895     0.000     0.896     0.001     0.000     0.000     0.000     0.103     2.000     1.212     33
     0.806     0.625     0.981     1.484     2.279     0.014    -0.034     1.343     0.094     0.474     0.589     0.605     0.798     0.600     0.629     0.895     0.000     0.914     0.001     0.000     0.000     0.000     0.085     2.000     1.327     34
    -0.188    -0.344     0.981     1.484    -1.346    -0.954     0.976     0.337     0.094     0.474     0.430     0.294    -0.101     0.483     0.349    -0.244     0.088     0.084     0.007     0.000     0.000     0.000     0.821     7.000     1.438     35
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     0.094     1.512     0.599     0.627     0.888     0.600     0.629     0.895     0.000     0.993     0.001     0.000     0.000     0.000     0.006     2.000     0.966     36
     0.806     0.625    -0.052     1.484     2.279     0.014     0.976     1.343     0.094     1.512     0.599     0.628     0.893     0.600     0.629     0.895     0.000     0.997     0.001     0.000     0.000     0.000     0.002     2.000     1.212     37
     0.806     0.625     0.981     0.475     2.279     0.982    -0.034         *     0.094     0.474     0.508     0.524     0.475     0.600     0.629     0.895     0.005     0.583     0.059     0.000     0.000     0.001     0.352     2.000     1.475     38
    -1.181    -1.314     0.981    -0.533    -0.138     0.014    -0.034     1.343    -0.897    -1.601    -0.197    -0.684    -0.014    -0.175    -0.552     0.230     0.734     0.000     0.000     0.000     0.264     0.001     0.001     1.000     0.733     39
     0.806     0.625     0.981     1.484     2.279     0.014     0.976     0.337     1.085     1.512     0.599     0.627     0.888     0.600     0.629     0.895     0.000     0.993     0.001     0.000     0.000     0.000     0.006     2.000     1.356     41
     0.806     0.625     0.981     0.475     2.279     0.982    -0.034     1.343     0.094    -0.563     0.511     0.583     0.714     0.600     0.629     0.895     0.006     0.771     0.087     0.000     0.000     0.000     0.136     2.000     1.250     42
     0.806     0.625     0.981     1.484    -0.138     0.982    -0.034     0.337     0.094     0.474     0.552     0.534     0.513     0.600     0.629     0.895     0.001     0.656     0.010     0.000     0.000     0.000     0.333     2.000     0.616     43
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.600     0.629     0.895     0.600     0.629     0.895     0.000     1.000     0.000     0.000     0.000     0.000     0.000     2.000     1.313     44
