    -0.188     0.625    -0.052    -0.533    -0.138    -0.954    -0.034    -1.676    -0.897    -0.563    -0.032     0.231    -0.495     0.035     0.634    -0.447     0.240     0.757     0.000     0.003     2.000     0.810      1
     0.806     0.625     0.981     1.484    -0.138     0.014     0.976     1.343     1.085     1.512     0.324     0.789     0.956     0.325     0.794     0.960     0.000     0.000     0.995     0.005     3.000     1.475      2
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     1.085    -0.563     0.313     0.761     0.934     0.325     0.794     0.960     0.000     0.004     0.966     0.030     3.000     0.778      3
    -1.181    -1.314     0.981    -0.533     2.279    -0.954    -1.043    -0.669    -0.897    -1.601    -0.243    -1.033    -0.655    -0.244    -1.037    -0.656     0.997     0.002     0.000     0.000     1.000     1.356      4
     0.806     0.625     0.981    -0.533    -0.138    -0.954    -0.034    -1.676    -0.897     0.474     0.034     0.626    -0.447     0.035     0.634    -0.447     0.004     0.994     0.000     0.002     2.000     1.797      5
     1.799     1.595    -1.084    -0.533    -0.138    -0.954    -2.053    -1.676    -0.897    -1.601     0.035     0.634    -0.447     0.035     0.634    -0.447     0.000     1.000     0.000     0.000     2.000     0.843      6
    -1.181    -0.344     0.981     0.475    -0.138    -0.954    -1.043    -0.669    -0.897    -0.563    -0.236    -0.990    -0.647    -0.244    -1.037    -0.656     0.970     0.026     0.000     0.004     1.000     1.475      7
     0.806     0.625     0.981     0.475    -0.138     0.982     0.976     1.343     1.085     1.512     0.324     0.790     0.957     0.325     0.794     0.960     0.000     0.000     0.996     0.004     3.000     0.763      8
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.325     0.793     0.959     0.325     0.794     0.960     0.000     0.000     0.999     0.001     3.000     1.373      9
     0.806     0.625     2.013     0.475    -0.138     0.982     0.976     1.343     1.085     1.512     0.324     0.791     0.958     0.325     0.794     0.960     0.000     0.000     0.998     0.002     3.000     1.784     10
    -0.188    -0.344     0.981     0.475     2.279    -0.954    -1.043    -0.669    -0.897    -0.563    -0.049     0.127    -0.501     0.035     0.634    -0.447     0.297     0.692     0.000     0.011     2.000     1.042     11
    -0.188    -0.344    -0.052     0.475     1.071     0.014    -0.034    -0.669     0.094     0.474    -0.036    -0.095     0.062    -0.046    -0.279     0.292     0.053     0.244     0.001     0.702     4.000     0.275     12
     0.806    -0.344    -0.052     0.475     2.279     0.982    -0.034     0.337     0.094     0.474     0.094     0.166     0.489    -0.046    -0.279     0.292     0.000     0.061     0.364     0.576     4.000     2.148     13
     0.806    -0.344    -1.084     1.484    -0.138     0.014    -0.034    -0.669     1.085    -0.563     0.013     0.374    -0.237     0.035     0.634    -0.447     0.004     0.713     0.005     0.278     2.000     2.148     14
    -0.188    -0.344     0.981     1.484     2.279     0.014    -0.034     0.337     0.094     0.474    -0.018    -0.159     0.291    -0.046    -0.279     0.292     0.002     0.057     0.064     0.877     4.000     0.763     15
         *         *         *         *    -1.346    -1.922    -2.053    -1.676    -1.888    -1.601    -0.228    -0.941    -0.644    -0.244    -1.037    -0.656     0.943     0.057     0.000     0.000     1.000     0.275     16
    -0.188    -0.344    -1.084    -0.533     1.071    -1.922    -2.053    -1.676    -1.888    -1.601    -0.228    -0.944    -0.644    -0.244    -1.037    -0.656     0.944     0.056     0.000     0.000     1.000     1.290     17
     0.806     0.625    -0.052    -0.533     1.071    -0.954     0.976     0.337     1.085    -0.563     0.029     0.214     0.068    -0.046    -0.279     0.292     0.000     0.406     0.114     0.480     4.000     1.438     18
     0.806    -0.344     0.981     1.484     1.071    -0.954     0.976     0.337     1.085     0.474     0.166     0.364     0.634     0.325     0.794     0.960     0.000     0.044     0.562     0.394     3.000     1.212     19
    -0.188     0.625    -0.052    -0.533     1.071    -1.922    -1.043    -1.676    -1.888    -1.601    -0.093    -0.136    -0.543     0.035     0.634    -0.447     0.461     0.539     0.000     0.000     2.000     0.958     20
     0.806     0.625     0.981    -0.533    -0.138     0.982     0.976     0.337     1.085     0.474     0.269     0.632     0.855     0.325     0.794     0.960     0.000     0.003     0.847     0.150     3.000     0.966     21
     0.806     0.625     0.981    -0.533    -0.138     0.982    -0.034     1.343     1.085     1.512     0.315     0.763     0.940     0.325     0.794     0.960     0.000     0.000     0.971     0.029     3.000     0.275     23
     0.806     0.625    -0.052     1.484     2.279     0.982    -0.034     1.343     0.094     1.512     0.322     0.786     0.954     0.325     0.794     0.960     0.000     0.000     0.992     0.007     3.000     1.250     24
    -0.188    -0.344     0.981     0.475     1.071    -0.954    -1.043    -0.669    -0.897    -0.563    -0.075    -0.028    -0.521     0.035     0.634    -0.447     0.390     0.599     0.000     0.011     2.000     1.313     25
     0.806     0.625    -0.052     0.475     1.071    -0.954    -1.043    -0.669     0.094    -0.563     0.034     0.629    -0.446     0.035     0.634    -0.447     0.002     0.996     0.000     0.003     2.000     2.046     26
     1.799     1.595     0.981    -0.533    -0.138     0.014    -1.043     0.337     1.085    -0.563     0.042     0.629    -0.402     0.035     0.634    -0.447     0.000     0.962     0.027     0.011     2.000     1.373     27
     1.799     0.625     0.981     1.484     2.279     0.982    -1.043    -0.669    -0.897     1.512     0.047     0.633    -0.379     0.035     0.634    -0.447     0.000     0.948     0.043     0.009     2.000     1.672     28
     0.806     0.625     0.981     1.484    -1.346     0.982     0.976     0.337     1.085     1.512     0.319     0.775     0.948     0.325     0.794     0.960     0.000     0.000     0.983     0.017     3.000     1.672     29
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     1.343     1.085     1.512     0.325     0.793     0.959     0.325     0.794     0.960     0.000     0.000     0.999     0.001     3.000     0.958     30
     0.806     0.625     0.981     1.484     1.071     0.982     0.976    -1.676    -0.897     1.512     0.041     0.536    -0.287     0.035     0.634    -0.447     0.000     0.831     0.053     0.116     2.000     2.432     31
     0.806     0.625     0.981     1.484     2.279     0.982    -1.043     1.343    -0.897     1.512     0.305     0.742     0.914     0.325     0.794     0.960     0.000     0.010     0.943     0.046     3.000     1.212     33
     0.806     0.625     0.981     1.484     2.279     0.014    -0.034     1.343     0.094     0.474     0.307     0.746     0.918     0.325     0.794     0.960     0.000     0.009     0.948     0.043     3.000     1.327     34
    -0.188    -0.344     0.981     1.484    -1.346    -0.954     0.976     0.337     0.094     0.474    -0.039    -0.232     0.270    -0.046    -0.279     0.292     0.004     0.038     0.015     0.944     4.000     1.438     35
     0.806     0.625     0.981     1.484     2.279     0.982     0.976     0.337     0.094     1.512     0.322     0.783     0.953     0.325     0.794     0.960     0.000     0.000     0.990     0.010     3.000     0.966     36
     0.806     0.625    -0.052     1.484     2.279     0.014     0.976     1.343     0.094     1.512     0.323     0.787     0.955     0.325     0.794     0.960     0.000     0.000     0.993     0.007     3.000     1.212     37
